"media_id","category","title","alt_text","mime_type","width","height","bytes","sha256","source_url","local_path"
"125","graphics","yeti-app","yeti risk management software","image/png","1744","854","340648","1643b5be166ac445dc7773d0ca90408b001ef561f1b51bdbe4238c5e07d03c75","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/yeti-app.png","graphics\0125-yeti-app.png"
"126","graphics","yeti-on-many-devices_-2048×944-1","yeti snow management software","image/png","2048","944","616732","bad0df7732d4ae8a1bc35966bf3a4a52cc53f05b1c24f05308355fdf75f19252","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/yeti-on-many-devices_-2048x944-1.png","graphics\0126-yeti-on-many-devices_-2048x944-1.png"
"183","graphics","yeti-app","Yeti Snow Management Software","image/png","1744","854","365381","9c7edbfe6c2eeb62c8541178af5d1a28161ca6cf12f30254e9b06639d33d797f","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/yeti-app-1.png","graphics\0183-yeti-app-1.png"
"268","graphics","servicemap","SIMA Snow Contractor in the Tri-State New York, New Jersey, Pennsylvania area","image/png","255","198","10195","3acecb96009dd2b2ccb4610721076cae831ad26fa77f03b0f949ee9528c5fc62","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/servicemap.png","graphics\0268-servicemap.png"
"269","graphics","servicemap2","Pennsylvania, New Jersey Snow Management","image/png","255","198","24466","ea3398a7905495272d199f9d3e5dbe43edb8bee03a7cdc081e00825275585908","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/servicemap2.png","graphics\0269-servicemap2.png"
"274","graphics","flag","American Snow and Ice Solutions","image/jpeg","1638","921","94470","2d39a049347ac8bd21824e4642bfd634ca07d6537ab163754cae62ae7b145b3b","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/flag.jpg","graphics\0274-flag.jpg"
"275","graphics","yetipaw","Weather Reporting for Snow Emergencies","image/png","111","114","7033","cdc7586a76228f28dff730fdc8f5d704fb472c7083c0a4abc2a04d5cf2646d02","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/yetipaw.png","graphics\0275-yetipaw.png"
"113","logos-certifications-associations","logo","fogelsville, macungie, allentown, palmerton, quakertown, lehigh valley, nazareth, windgap, slatington snow plowing","image/png","516","516","291585","1902dcd3195df6a7eb0e56b51721074b95dd39ed40fde75a39102e8ff409e4dd","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/logo.png","logos-certifications-associations\0113-logo.png"
"118","logos-certifications-associations","asca","ASCA certified","image/png","124","70","11432","630bd2dc63c00049d8c2cf158cbe5ffc05471705255c65edf780338239c7b968","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/asca.png","logos-certifications-associations\0118-asca.png"
"119","logos-certifications-associations","sima","SIMA snow and ice management association","image/jpeg","171","68","5134","98fda7f24c61a7382156e7a576d2f218a92e25dbb9e0bebf20e843b2f3aab820","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/sima.jpg","logos-certifications-associations\0119-sima.jpg"
"120","logos-certifications-associations","snowfighters","snowfighters accredited","image/png","101","100","28271","3d600fe875077d26997f922635d55f09fa10a667fe64ea424bdae603c563509a","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/snowfighters.png","logos-certifications-associations\0120-snowfighters.png"
"152","logos-certifications-associations","bbb-trust-logo","BBB","image/png","864","350","21366","5a9ea832f225ed6126042e1f8cac7c81a14ce6f90d437f624bd32d7419513160","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/bbb-trust-logo.png","logos-certifications-associations\0152-bbb-trust-logo.png"
"182","logos-certifications-associations","logo-map","The Weather Pros weather reporting","image/png","439","420","198149","954471cd2e1ddaf5f473fe62b2a092bcb9c2fd09ef0567e8710474473505885e","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/logo-map.png","logos-certifications-associations\0182-logo-map.png"
"215","logos-certifications-associations","APS-3stacklogo","APS American Property Solutions","image/png","764","258","136058","47afefbee9fa34c92f2031e9c4f87c37aa5242da7faf14c3044272f5e22c536c","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/APS-3stacklogo.png","logos-certifications-associations\0215-APS-3stacklogo.png"
"216","logos-certifications-associations","APS-star","American Property Solutions Landscaping and Property Maintenance Company","image/png","545","430","87579","679071db5e6be604881bdfca1301d1bd1d86b44e465b4f158fe8d7169470bb8a","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/APS-star.png","logos-certifications-associations\0216-APS-star.png"
"221","logos-certifications-associations","worktogether","snow plows","image/png","780","688","113427","74cd7e3c02e56793e6e7fd6b264df963235072a6b8627ea1197bd28aaea770ad","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/worktogether.png","logos-certifications-associations\0221-worktogether.png"
"306","logos-certifications-associations","ASAI-Logo","Tri-State New York, Pennsylvania and New Jersey Snow and Ice Solutions Company","image/png","2297","652","118270","002941cd0724b6bd10a36f7a6873fdbd89feb59fe8168e00bf0883a75cf76384","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/ASAI-Logo.png","logos-certifications-associations\0306-ASAI-Logo.png"
"337","logos-certifications-associations","ASAI-favicon","snow plowing","image/png","150","112","4464","e1290ddcdb0781c65c4fbfbc21e3e141966958b2f170fccd12e43712a141d11a","https://americansnowandicesolutions.com/wp-content/uploads/2024/08/ASAI-favicon.png","logos-certifications-associations\0337-ASAI-favicon.png"
"421","logos-certifications-associations","APS-3stacklogo","Landscaping Contractor","image/png","764","258","78037","8391310ca554992039233689d8c735a9b9e57f9ee301824d6d95d6277d4101cb","https://americansnowandicesolutions.com/wp-content/uploads/2025/04/APS-3stacklogo.png","logos-certifications-associations\0421-APS-3stacklogo.png"
"423","logos-certifications-associations","chamber-logo-transparent","american snow and ice solutions chamber member","image/png","246","67","21300","ccf31c662f316befd3ad12bf3a9b0014d1591747875c072bb71a8856e0ff50ad","https://americansnowandicesolutions.com/wp-content/uploads/2025/04/chamber-logo-transparent.png","logos-certifications-associations\0423-chamber-logo-transparent.png"
"47","photos","new-portrait-8-800×800-1-800×800","","image/jpeg","800","800","101356","3e3383d8dd27f7d683615e3ad472d594fc970e53668500188c2cdb299b6f3670","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/new-portrait-8-800x800-1-800x800.jpg","photos\0047-new-portrait-8-800x800-1-800x800.jpg"
"50","photos","new-portrait-11-800×800-1-800×800","","image/jpeg","800","800","73310","e7fa73e44588d5d5d7429134df7a1aab4639aba95803405f77c9156dfdce41db","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/new-portrait-11-800x800-1-800x800.jpg","photos\0050-new-portrait-11-800x800-1-800x800.jpg"
"51","photos","0-e8fe263a-edb6-454d-ba5b-c6258be41e0e-800×800","","image/jpeg","800","800","164217","9a76824a72a99ec636bd4ee416263950d8cf3d52560707d907711172b54cb401","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/0-e8fe263a-edb6-454d-ba5b-c6258be41e0e-800x800.jpg","photos\0051-0-e8fe263a-edb6-454d-ba5b-c6258be41e0e-800x800.jpg"
"52","photos","0-0c946dc4-ec9e-4216-86bd-2273b93dea74-800×800","","image/jpeg","800","800","155672","ea3e6d5b433a697ade9400179e86778ff3d5408847542c03c6f9136b30fdd735","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/0-0c946dc4-ec9e-4216-86bd-2273b93dea74-800x800.jpg","photos\0052-0-0c946dc4-ec9e-4216-86bd-2273b93dea74-800x800.jpg"
"53","photos","new-portrait-12-800×800-1-800×800","","image/jpeg","800","800","73533","8de0420c1d1e1740cac4a93ac8a59096a36ea5c6879076024573d856328c4118","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/new-portrait-12-800x800-1-800x800.jpg","photos\0053-new-portrait-12-800x800-1-800x800.jpg"
"54","photos","new-portrait-7-800×800-1-800×800","","image/jpeg","800","800","71627","3aa30cdb68bf1bad256cc5b68d9419780904777c31722927e8937a18b7de064f","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/new-portrait-7-800x800-1-800x800.jpg","photos\0054-new-portrait-7-800x800-1-800x800.jpg"
